Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Ceftriaxone,IV,1–2 g IV q24h (meningitis: 2 g IV q12h),q24h (q12h for meningitis),—,—,50–75 mg/kg IV q24h (max 2 g); meningitis 100 mg/kg/day divided q12h (max 4 g),50 mg/kg IV q24h (max 2 g); meningitis 2 g q12h,No renal adj (non-dialysis); give post-HD; avoid in severe hyperbilirubinemic neonates,Caution in severe hepatic impairment,,,,,,"=IF(ISBLANK($O2), """", $O2*1.0)","=IF(ISBLANK($O2), """", $O2*1.5)","=IF(ISBLANK($O2), """", $O2*2.0)","=IF(ISBLANK($O2), """", 4*MIN(10,$O2) + 2*MAX(0,MIN(10,$O2-10)) + 1*MAX(0,$O2-20))","=IF(ISBLANK($O2), """", $O2*30)"
Cefepime,IV,1–2 g IV q8–12h (CrCl adjust),q8–12h,—,—,50 mg/kg IV q8–12h (max 2 g/dose),50 mg/kg IV q8–12h (max 2 g/dose),Adjust if CrCl <60 mL/min; extend interval,No routine adjustment,,,,,,"=IF(ISBLANK($O3), """", $O3*1.0)","=IF(ISBLANK($O3), """", $O3*1.5)","=IF(ISBLANK($O3), """", $O3*2.0)","=IF(ISBLANK($O3), """", 4*MIN(10,$O3) + 2*MAX(0,MIN(10,$O3-10)) + 1*MAX(0,$O3-20))","=IF(ISBLANK($O3), """", $O3*30)"
Piperacillin‑tazobactam,IV,3.375–4.5 g IV q6–8h (extended infusion common),q6–8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O4), """", $O4*1.0)","=IF(ISBLANK($O4), """", $O4*1.5)","=IF(ISBLANK($O4), """", $O4*2.0)","=IF(ISBLANK($O4), """", 4*MIN(10,$O4) + 2*MAX(0,MIN(10,$O4-10)) + 1*MAX(0,$O4-20))","=IF(ISBLANK($O4), """", $O4*30)"
Ampicillin‑sulbactam,IV,1.5–3 g IV q6h,q6h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O5), """", $O5*1.0)","=IF(ISBLANK($O5), """", $O5*1.5)","=IF(ISBLANK($O5), """", $O5*2.0)","=IF(ISBLANK($O5), """", 4*MIN(10,$O5) + 2*MAX(0,MIN(10,$O5-10)) + 1*MAX(0,$O5-20))","=IF(ISBLANK($O5), """", $O5*30)"
Amoxicillin‑clavulanate,PO,875/125 mg PO q12h or 500/125 mg q8h,q8–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O6), """", $O6*1.0)","=IF(ISBLANK($O6), """", $O6*1.5)","=IF(ISBLANK($O6), """", $O6*2.0)","=IF(ISBLANK($O6), """", 4*MIN(10,$O6) + 2*MAX(0,MIN(10,$O6-10)) + 1*MAX(0,$O6-20))","=IF(ISBLANK($O6), """", $O6*30)"
Nafcillin,IV,2 g IV q4h (or 3 g IV q6h),q4–6h,—,—,100–200 mg/kg/day IV divided q6h,2 g IV q4–6h (adolescent adult-like),No renal adj; not dialyzable,Caution hepatic dysfunction; monitor LFTs,,,,,,"=IF(ISBLANK($O7), """", $O7*1.0)","=IF(ISBLANK($O7), """", $O7*1.5)","=IF(ISBLANK($O7), """", $O7*2.0)","=IF(ISBLANK($O7), """", 4*MIN(10,$O7) + 2*MAX(0,MIN(10,$O7-10)) + 1*MAX(0,$O7-20))","=IF(ISBLANK($O7), """", $O7*30)"
Oxacillin,IV,2 g IV q4h,q4h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O8), """", $O8*1.0)","=IF(ISBLANK($O8), """", $O8*1.5)","=IF(ISBLANK($O8), """", $O8*2.0)","=IF(ISBLANK($O8), """", 4*MIN(10,$O8) + 2*MAX(0,MIN(10,$O8-10)) + 1*MAX(0,$O8-20))","=IF(ISBLANK($O8), """", $O8*30)"
Cefazolin,IV,1–2 g IV q8h (surgical prophylaxis 2 g once pre‑op; 3 g if >120kg),q8h,—,25–50 mg/kg/day IV divided q8h,50–100 mg/kg/day IV divided q8h (max 2 g/dose),25–50 mg/kg IV q8h (max 2 g/dose),Adjust if CrCl <50; post-HD dosing,No routine adjustment,,,,,,"=IF(ISBLANK($O9), """", $O9*1.0)","=IF(ISBLANK($O9), """", $O9*1.5)","=IF(ISBLANK($O9), """", $O9*2.0)","=IF(ISBLANK($O9), """", 4*MIN(10,$O9) + 2*MAX(0,MIN(10,$O9-10)) + 1*MAX(0,$O9-20))","=IF(ISBLANK($O9), """", $O9*30)"
Ceftazidime,IV,2 g IV q8h,q8h,—,—,50 mg/kg IV q8h (max 2 g/dose),50 mg/kg IV q8h (max 2 g/dose),Adjust if CrCl <50; post-HD dosing,No routine adjustment,,,,,,"=IF(ISBLANK($O10), """", $O10*1.0)","=IF(ISBLANK($O10), """", $O10*1.5)","=IF(ISBLANK($O10), """", $O10*2.0)","=IF(ISBLANK($O10), """", 4*MIN(10,$O10) + 2*MAX(0,MIN(10,$O10-10)) + 1*MAX(0,$O10-20))","=IF(ISBLANK($O10), """", $O10*30)"
Meropenem,IV,1 g IV q8h (meningitis 2 g q8h),q8h,—,20–40 mg/kg IV q8–12h (meningitis 40 mg/kg q8h),20–40 mg/kg IV q8h (max 2 g/dose),20–40 mg/kg IV q8h (max 2 g/dose),Adjust if CrCl <50; post-HD dosing,No routine adjustment,,,,,,"=IF(ISBLANK($O11), """", $O11*1.0)","=IF(ISBLANK($O11), """", $O11*1.5)","=IF(ISBLANK($O11), """", $O11*2.0)","=IF(ISBLANK($O11), """", 4*MIN(10,$O11) + 2*MAX(0,MIN(10,$O11-10)) + 1*MAX(0,$O11-20))","=IF(ISBLANK($O11), """", $O11*30)"
